"address_id","address","address2","district","city_id","postal_code","phone","last_update"
"1","47 MySakila Drive",NULL," ","300",NULL," ","2006-02-15 04:45:30"
"2","28 MySQL Boulevard",NULL," ","576",NULL," ","2006-02-15 04:45:30"
"3","23 Workhaven Lane",NULL," ","300",NULL," ","2006-02-15 04:45:30"
"4","1411 Lillydale Drive",NULL," ","576",NULL," ","2006-02-15 04:45:30"
"5","1913 Hanoi Way",NULL," ","463","35200"," ","2006-02-15 04:45:30"
"6","1121 Loja Avenue",NULL," ","449","17886"," ","2006-02-15 04:45:30"
"7","692 Joliet Street",NULL," ","38","83579"," ","2006-02-15 04:45:30"
"8","1566 Inegl Manor",NULL," ","349","53561"," ","2006-02-15 04:45:30"
"9","53 Idfu Parkway",NULL," ","361","42399"," ","2006-02-15 04:45:30"
"10","1795 Santiago de Compostela Way",NULL," ","295","18743"," ","2006-02-15 04:45:30"
"11","900 Santiago de Compostela Parkway",NULL," ","280","93896"," ","2006-02-15 04:45:30"
"12","478 Joliet Way",NULL," ","200","77948"," ","2006-02-15 04:45:30"
"13","613 Korolev Drive",NULL," ","329","45844"," ","2006-02-15 04:45:30"
"14","1531 Sal Drive",NULL," ","162","53628"," ","2006-02-15 04:45:30"
"15","1542 Tarlac Parkway",NULL," ","440","1027"," ","2006-02-15 04:45:30"
"16","808 Bhopal Manor",NULL," ","582","10672"," ","2006-02-15 04:45:30"
"17","270 Amroha Parkway",NULL," ","384","29610"," ","2006-02-15 04:45:30"
"18","770 Bydgoszcz Avenue",NULL," ","120","16266"," ","2006-02-15 04:45:30"
"19","419 Iligan Lane",NULL," ","76","72878"," ","2006-02-15 04:45:30"
"20","360 Toulouse Parkway",NULL," ","495","54308"," ","2006-02-15 04:45:30"
"21","270 Toulon Boulevard",NULL," ","156","81766"," ","2006-02-15 04:45:30"
"22","320 Brest Avenue",NULL," ","252","43331"," ","2006-02-15 04:45:30"
"23","1417 Lancaster Avenue",NULL," ","267","72192"," ","2006-02-15 04:45:30"
"24","1688 Okara Way",NULL," ","327","21954"," ","2006-02-15 04:45:30"
"25","262 A Corua (La Corua) Parkway",NULL," ","525","34418"," ","2006-02-15 04:45:30"
